Kansas City Hunters,Jason Preston,1.0,1,1,all,False,-500,1672534850.3739226,0.8083068748065851
Kansas City Hunters,Trevor Hudgins,0.75,1,2,all,False,-500,1672534959.3324482,0.6167922957244132
Atlanta Hawks,Brandon Boston Jr.,0.5,3,1,all,False,-500,1672535897.9718568,0.3631493060468782
Atlanta Hawks,Jordan Hall,0.5,3,2,all,False,-500,1672535915.896793,0.37663046566599995
Atlanta Hawks,Alexandros Samodurov,0.5,5,3,all,False,-500,1672535927.1908376,0.28362978014038
Atlanta Hawks,Baba Miller,0.5,5,4,all,False,-500,1672535945.909156,0.2893881526220221
Atlanta Hawks,Goga Bitadze,0.5,1,6,all,False,-500,1672535999.5893404,0.3850385406449963
Atlanta Hawks,Sadraque Nganga,0.5,5,7,all,False,-500,1672536026.7068598,0.2893881526220221,0.2893881526220221
Los Angeles Clippers,Sadraque Nganga,6.0,3+PO,1,all,False,-500,1672554884.2560956,5.984654175927757
Atlanta Hawks,Terquavion Smith,0.5,4,8,all,False,-500,1672554982.3213298,0.3320518616654725
Brooklyn Nets,Naz Reid,26.12,4,1,all,False,-500,1673068616.3823228
Brooklyn Nets,Larry Brown,0.5,2,2,all,False,-500,1673068641.359249
Brooklyn Nets,Miles McBride,8.41,4,3,all,False,-500,1673068677.0905483
Washington Wizards,Josh Green,16.0,4,1,all,False,-500,1673068840.5324056
Washington Wizards,Jeffrey Robinson,0.5,2,2,all,False,-500,1673068850.8925967
Washington Wizards,Chuck Phillips,3.0,2,3,all,False,-500,1673068861.315392
Milwaukee Bucks,Omaha Biliew,6.68,3,1,all,False,-500,1673093980.8842592
Indiana Pacers,Scott Robinson,12.12,3,1,all,False,-500,1673102537.1789634
Detroit Pistons,R.J. Barrett,30.0,5,1,all,False,-500,1673102575.8697016
Atlanta Hawks,D.J. Wagner,22.5,4,9,all,False,-500,1673107675.336726
Milwaukee Bucks,Steve Kirkpatrick,6.0,3,2,all,False,0,1674166081.6704984,5.352248326931088
Milwaukee Bucks,Arterio Morris,10.0,2,3,all,False,0,1674166122.945886,15.018916115475923
